団体コード,都道府県名,市区町村名,開設局数_前回,開設局数_今回,開設局数_差分
130001,東京都,,2702,2702,0
131032,東京都,港区,2702,2702,0
140007,神奈川県,,6106,6108,2
141101,神奈川県,横浜市戸塚区,6106,6108,2
250007,滋賀県,,473,473,0
252018,滋賀県,大津市,89,89,0
252026,滋賀県,彦根市,33,33,0
252034,滋賀県,長浜市,53,53,0
252042,滋賀県,近江八幡市,35,35,0
252069,滋賀県,草津市,35,35,0
252077,滋賀県,守山市,24,24,0
252085,滋賀県,栗東市,14,14,0
252093,滋賀県,甲賀市,31,31,0
252107,滋賀県,野洲市,20,20,0
252115,滋賀県,湖南市,30,30,0
252123,滋賀県,高島市,11,11,0
252131,滋賀県,東近江市,46,46,0
252140,滋賀県,米原市,17,17,0
253839,滋賀県,蒲生郡日野町,10,10,0
253847,滋賀県,蒲生郡竜王町,7,7,0
254258,滋賀県,愛知郡愛荘町,5,5,0
254410,滋賀県,犬上郡豊郷町,2,2,0
254428,滋賀県,犬上郡甲良町,5,5,0
254436,滋賀県,犬上郡多賀町,6,6,0
260002,京都府,,696,696,0
261017,京都府,京都市北区,34,34,0
261025,京都府,京都市上京区,22,22,0
261033,京都府,京都市左京区,47,47,0
261041,京都府,京都市中京区,36,36,0
261050,京都府,京都市東山区,33,33,0
261068,京都府,京都市下京区,35,35,0
261076,京都府,京都市南区,37,37,0
261084,京都府,京都市右京区,46,46,0
261092,京都府,京都市伏見区,54,54,0
261106,京都府,京都市山科区,27,27,0
261114,京都府,京都市西京区,38,38,0
262013,京都府,福知山市,33,33,0
262021,京都府,舞鶴市,29,29,0
262030,京都府,綾部市,11,11,0
262048,京都府,宇治市,25,25,0
262056,京都府,宮津市,5,5,0
262064,京都府,亀岡市,22,22,0
262072,京都府,城陽市,17,17,0
262081,京都府,向日市,14,14,0
262099,京都府,長岡京市,19,19,0
262102,京都府,八幡市,19,19,0
262111,京都府,京田辺市,14,14,0
262129,京都府,京丹後市,9,9,0
262137,京都府,南丹市,13,13,0
262145,京都府,木津川市,17,17,0
263036,京都府,乙訓郡大山崎町,5,5,0
263222,京都府,久世郡久御山町,8,8,0
263435,京都府,綴喜郡井手町,4,4,0
263443,京都府,綴喜郡宇治田原町,7,7,0
263648,京都府,相楽郡笠置町,2,2,0
263656,京都府,相楽郡和束町,1,1,0
263664,京都府,相楽郡精華町,3,3,0
264075,京都府,船井郡京丹波町,3,3,0
264652,京都府,与謝郡与謝野町,7,7,0
270008,大阪府,,2265,2265,0
271021,大阪府,大阪市都島区,24,24,0
271039,大阪府,大阪市福島区,32,32,0
271047,大阪府,大阪市此花区,38,38,0
271063,大阪府,大阪市西区,46,46,0
271071,大阪府,大阪市港区,29,29,0
271080,大阪府,大阪市大正区,16,16,0
271098,大阪府,大阪市天王寺区,33,33,0
271110,大阪府,大阪市浪速区,38,38,0
271136,大阪府,大阪市西淀川区,30,30,0
271144,大阪府,大阪市東淀川区,42,42,0
271152,大阪府,大阪市東成区,18,18,0
271161,大阪府,大阪市生野区,26,26,0
271179,大阪府,大阪市旭区,17,17,0
271187,大阪府,大阪市城東区,29,29,0
271195,大阪府,大阪市阿倍野区,33,33,0
271209,大阪府,大阪市住吉区,27,27,0
271217,大阪府,大阪市東住吉区,25,25,0
271225,大阪府,大阪市西成区,30,30,0
271233,大阪府,大阪市淀川区,56,56,0
271241,大阪府,大阪市鶴見区,20,20,0
271250,大阪府,大阪市住之江区,43,43,0
