団体コード,都道府県名,市区町村名,開設局数_前回,開設局数_今回,開設局数_差分,update
10006,北海道,,951,953,2,1
20001,青森県,,385,389,4,1
30007,岩手県,,277,278,1,1
40002,宮城県,,520,521,1,1
50008,秋田県,,438,439,1,1
60003,山形県,,263,268,5,1
70009,福島県,,532,533,1,1
80004,茨城県,,781,781,0,0
90000,栃木県,,480,481,1,0
100005,群馬県,,454,456,2,0
110001,埼玉県,,1780,1783,3,0
120006,千葉県,,1949,1951,2,0
130001,東京都,,5944,5947,3,0
140007,神奈川県,,2452,2454,2,0
150002,新潟県,,585,586,1,1
160008,富山県,,331,331,0,0
170003,石川県,,344,327,-17,0
180009,福井県,,241,238,-3,0
190004,山梨県,,107,107,0,0
200000,長野県,,414,416,2,1
210005,岐阜県,,678,679,1,0
220001,静岡県,,1140,1141,1,0
230006,愛知県,,1908,1913,5,0
240001,三重県,,624,626,2,0
250007,滋賀県,,338,342,4,0
260002,京都府,,568,569,1,0
270008,大阪府,,1908,1915,7,0
280003,兵庫県,,1315,1318,3,0
290009,奈良県,,332,333,1,0
300004,和歌山県,,223,225,2,0
310000,鳥取県,,199,199,0,0
320005,島根県,,277,278,1,0
330001,岡山県,,530,535,5,0
340006,広島県,,533,535,2,0
350001,山口県,,386,387,1,0
360007,徳島県,,165,167,2,1
370002,香川県,,249,249,0,1
380008,愛媛県,,302,304,2,1
390003,高知県,,112,112,0,1
400009,福岡県,,994,1008,14,0
410004,佐賀県,,224,226,2,0
420000,長崎県,,218,226,8,0
430005,熊本県,,301,317,16,0
440001,大分県,,238,239,1,0
450006,宮崎県,,250,255,5,0
460001,鹿児島県,,442,454,12,0
470007,沖縄県,,221,222,1,0
