団体コード,都道府県名,市区町村名,開設局数_前回,開設局数_今回,開設局数_差分
130001,東京都,,6,6,0
131032,東京都,港区,6,6,0
140007,神奈川県,,6,6,0
141101,神奈川県,横浜市戸塚区,6,6,0
400009,福岡県,,739,706,-33
401013,福岡県,北九州市門司区,20,20,0
401030,福岡県,北九州市若松区,23,24,1
401056,福岡県,北九州市戸畑区,10,9,-1
401064,福岡県,北九州市小倉北区,22,18,-4
401072,福岡県,北九州市小倉南区,34,35,1
401081,福岡県,北九州市八幡東区,14,14,0
401099,福岡県,北九州市八幡西区,45,44,-1
401315,福岡県,福岡市東区,35,26,-9
401323,福岡県,福岡市博多区,58,50,-8
401331,福岡県,福岡市中央区,27,17,-10
401340,福岡県,福岡市南区,16,13,-3
401358,福岡県,福岡市西区,21,20,-1
401366,福岡県,福岡市城南区,8,5,-3
401374,福岡県,福岡市早良区,21,20,-1
402028,福岡県,大牟田市,16,14,-2
402036,福岡県,久留米市,43,38,-5
402044,福岡県,直方市,13,13,0
402052,福岡県,飯塚市,41,42,1
402061,福岡県,田川市,12,13,1
402079,福岡県,柳川市,3,4,1
402109,福岡県,八女市,12,12,0
402117,福岡県,筑後市,3,5,2
402125,福岡県,大川市,7,7,0
402133,福岡県,行橋市,14,14,0
402141,福岡県,豊前市,9,9,0
402150,福岡県,中間市,8,9,1
402168,福岡県,小郡市,9,9,0
402176,福岡県,筑紫野市,6,6,0
402184,福岡県,春日市,4,4,0
402192,福岡県,大野城市,10,9,-1
402206,福岡県,宗像市,31,32,1
402214,福岡県,太宰府市,7,7,0
402231,福岡県,古賀市,13,12,-1
402249,福岡県,福津市,5,5,0
402257,福岡県,うきは市,2,2,0
402265,福岡県,宮若市,4,5,1
402273,福岡県,嘉麻市,6,6,0
402281,福岡県,朝倉市,12,12,0
402290,福岡県,みやま市,3,3,0
402303,福岡県,糸島市,11,10,-1
402311,福岡県,那珂川市,5,5,0
403415,福岡県,糟屋郡宇美町,4,4,0
403423,福岡県,糟屋郡篠栗町,5,5,0
403431,福岡県,糟屋郡志免町,2,2,0
403440,福岡県,糟屋郡須恵町,2,2,0
403458,福岡県,糟屋郡新宮町,2,2,0
403491,福岡県,糟屋郡粕屋町,4,5,1
403814,福岡県,遠賀郡芦屋町,2,2,0
403822,福岡県,遠賀郡水巻町,3,3,0
403831,福岡県,遠賀郡岡垣町,4,4,0
403849,福岡県,遠賀郡遠賀町,2,3,1
404012,福岡県,鞍手郡小竹町,2,4,2
404021,福岡県,鞍手郡鞍手町,6,6,0
404217,福岡県,嘉穂郡桂川町,3,3,0
404471,福岡県,朝倉郡筑前町,4,4,0
405035,福岡県,三井郡大刀洗町,6,7,1
405221,福岡県,三潴郡大木町,1,1,0
405442,福岡県,八女郡広川町,2,2,0
406015,福岡県,田川郡香春町,5,5,0
406040,福岡県,田川郡糸田町,3,3,0
406058,福岡県,田川郡川崎町,1,2,1
406082,福岡県,田川郡大任町,2,2,0
406091,福岡県,田川郡赤村,3,3,0
406104,福岡県,田川郡福智町,3,4,1
406210,福岡県,京都郡苅田町,1,1,0
406422,福岡県,築上郡吉富町,0,1,1
406465,福岡県,築上郡上毛町,1,1,0
406473,福岡県,築上郡築上町,3,3,0
410004,佐賀県,,97,101,4
412015,佐賀県,佐賀市,36,36,0
412023,佐賀県,唐津市,4,4,0
412031,佐賀県,鳥栖市,6,6,0
412040,佐賀県,多久市,1,1,0
412058,佐賀県,伊万里市,14,16,2
412066,佐賀県,武雄市,3,3,0
412074,佐賀県,鹿島市,3,3,0
412082,佐賀県,小城市,3,4,1
412091,佐賀県,嬉野市,13,13,0
413411,佐賀県,三養基郡基山町,4,5,1
413461,佐賀県,三養基郡みやき町,2,2,0
414018,佐賀県,西松浦郡有田町,3,3,0
414239,佐賀県,杵島郡大町町,3,3,0
414247,佐賀県,杵島郡江北町,1,1,0
414417,佐賀県,藤津郡太良町,1,1,0
420000,長崎県,,101,102,1
422011,長崎県,長崎市,35,36,1
422029,長崎県,佐世保市,21,21,0
422037,長崎県,島原市,1,1,0
422045,長崎県,諫早市,5,5,0
422053,長崎県,大村市,12,12,0
422070,長崎県,平戸市,4,4,0
422088,長崎県,松浦市,1,1,0
422126,長崎県,西海市,3,3,0
422134,長崎県,雲仙市,2,2,0
422142,長崎県,南島原市,1,1,0
423076,長崎県,西彼杵郡長与町,2,2,0
423084,長崎県,西彼杵郡時津町,2,2,0
423211,長崎県,東彼杵郡東彼杵町,6,6,0
423238,長崎県,東彼杵郡波佐見町,1,1,0
423912,長崎県,北松浦郡佐々町,5,5,0
430005,熊本県,,177,189,12
431010,熊本県,熊本市中央区,26,27,1
431028,熊本県,熊本市東区,18,19,1
431036,熊本県,熊本市西区,12,12,0
431044,熊本県,熊本市南区,14,14,0
431052,熊本県,熊本市北区,17,17,0
432024,熊本県,八代市,21,21,0
432032,熊本県,人吉市,3,3,0
432041,熊本県,荒尾市,12,12,0
432067,熊本県,玉名市,5,5,0
432083,熊本県,山鹿市,6,6,0
432105,熊本県,菊池市,7,7,0
432113,熊本県,宇土市,2,2,0
432121,熊本県,上天草市,0,2,2
432130,熊本県,宇城市,4,7,3
432164,熊本県,合志市,2,3,1
433675,熊本県,玉名郡南関町,2,3,1
433683,熊本県,玉名郡長洲町,2,2,0
433691,熊本県,玉名郡和水町,1,1,0
434035,熊本県,菊池郡大津町,6,6,0
434043,熊本県,菊池郡菊陽町,3,3,0
434329,熊本県,阿蘇郡西原村,1,1,0
434426,熊本県,上益城郡嘉島町,2,2,0
434434,熊本県,上益城郡益城町,5,6,1
434442,熊本県,上益城郡甲佐町,3,4,1
434477,熊本県,上益城郡山都町,1,1,0
434680,熊本県,八代郡氷川町,1,1,0
434825,熊本県,葦北郡芦北町,1,1,0
435121,熊本県,球磨郡山江村,0,1,1
440001,大分県,,145,156,11
442011,大分県,大分市,56,58,2
442020,大分県,別府市,18,18,0
442038,大分県,中津市,14,15,1
442046,大分県,日田市,19,21,2
442054,大分県,佐伯市,2,2,0
442062,大分県,臼杵市,1,4,3
442071,大分県,津久見市,1,1,0
442101,大分県,杵築市,11,11,0
442119,大分県,宇佐市,2,3,1
442135,大分県,由布市,9,9,0
442143,大分県,国東市,1,1,0
443417,大分県,速見郡日出町,8,9,1
444626,大分県,玖珠郡玖珠町,3,4,1
450006,宮崎県,,142,146,4
452017,宮崎県,宮崎市,66,67,1
452025,宮崎県,都城市,35,35,0
452033,宮崎県,延岡市,6,6,0
452041,宮崎県,日南市,5,6,1
452068,宮崎県,日向市,19,19,0
452076,宮崎県,串間市,1,1,0
453820,宮崎県,東諸県郡国富町,4,4,0
453838,宮崎県,東諸県郡綾町,1,3,2
454010,宮崎県,児湯郡高鍋町,4,4,0
454028,宮崎県,児湯郡新富町,1,1,0
460001,鹿児島県,,138,153,15
462012,鹿児島県,鹿児島市,81,83,2
462039,鹿児島県,鹿屋市,8,9,1
462047,鹿児島県,枕崎市,3,3,0
462063,鹿児島県,阿久根市,5,5,0
462101,鹿児島県,指宿市,3,4,1
462152,鹿児島県,薩摩川内市,5,5,0
462161,鹿児島県,日置市,7,7,0
462179,鹿児島県,曽於市,2,2,0
462187,鹿児島県,霧島市,9,9,0
462195,鹿児島県,いちき串木野市,2,2,0
462209,鹿児島県,南さつま市,1,2,1
462225,鹿児島県,奄美市,1,1,0
462233,鹿児島県,南九州市,3,4,1
462241,鹿児島県,伊佐市,6,7,1
463922,鹿児島県,薩摩郡さつま町,1,1,0
464040,鹿児島県,出水郡長島町,1,1,0
464686,鹿児島県,曽於郡大崎町,0,4,4
