団体コード,都道府県名,市区町村名,開設局数_前回,開設局数_今回,開設局数_差分
360007,徳島県,,322,325,3
362018,徳島県,徳島市,56,57,1
362026,徳島県,鳴門市,25,25,0
362034,徳島県,小松島市,16,16,0
362042,徳島県,阿南市,24,24,0
362051,徳島県,吉野川市,16,16,0
362069,徳島県,阿波市,18,18,0
362077,徳島県,美馬市,16,17,1
362085,徳島県,三好市,14,15,1
363014,徳島県,勝浦郡勝浦町,5,5,0
363219,徳島県,名東郡佐那河内村,4,4,0
363413,徳島県,名西郡石井町,9,9,0
363421,徳島県,名西郡神山町,7,7,0
363685,徳島県,那賀郡那賀町,6,6,0
363839,徳島県,海部郡牟岐町,8,8,0
363871,徳島県,海部郡美波町,15,15,0
363880,徳島県,海部郡海陽町,37,37,0
364011,徳島県,板野郡松茂町,8,8,0
364029,徳島県,板野郡北島町,6,6,0
364037,徳島県,板野郡藍住町,7,7,0
364045,徳島県,板野郡板野町,6,6,0
364053,徳島県,板野郡上板町,5,5,0
364681,徳島県,美馬郡つるぎ町,9,9,0
364894,徳島県,三好郡東みよし町,5,5,0
370002,香川県,,350,351,1
372013,香川県,高松市,100,100,0
372021,香川県,丸亀市,25,25,0
372030,香川県,坂出市,14,14,0
372048,香川県,善通寺市,15,15,0
372056,香川県,観音寺市,28,28,0
372064,香川県,さぬき市,19,19,0
372072,香川県,東かがわ市,15,15,0
372081,香川県,三豊市,45,45,0
373222,香川県,小豆郡土庄町,14,14,0
373249,香川県,小豆郡小豆島町,21,21,0
373419,香川県,木田郡三木町,7,7,0
373648,香川県,香川郡直島町,1,2,1
373869,香川県,綾歌郡宇多津町,6,6,0
373877,香川県,綾歌郡綾川町,18,18,0
374032,香川県,仲多度郡琴平町,5,5,0
374041,香川県,仲多度郡多度津町,6,6,0
374067,香川県,仲多度郡まんのう町,11,11,0
380008,愛媛県,,482,483,1
382019,愛媛県,松山市,109,109,0
382027,愛媛県,今治市,53,53,0
382035,愛媛県,宇和島市,35,36,1
382043,愛媛県,八幡浜市,11,11,0
382051,愛媛県,新居浜市,35,35,0
382060,愛媛県,西条市,44,44,0
382078,愛媛県,大洲市,25,25,0
382108,愛媛県,伊予市,18,18,0
382132,愛媛県,四国中央市,39,39,0
382141,愛媛県,西予市,22,22,0
382159,愛媛県,東温市,20,20,0
383562,愛媛県,越智郡上島町,3,3,0
383864,愛媛県,上浮穴郡久万高原町,12,12,0
384011,愛媛県,伊予郡松前町,8,8,0
384020,愛媛県,伊予郡砥部町,11,11,0
384224,愛媛県,喜多郡内子町,10,10,0
384429,愛媛県,西宇和郡伊方町,8,8,0
384844,愛媛県,北宇和郡松野町,2,2,0
384887,愛媛県,北宇和郡鬼北町,6,6,0
385069,愛媛県,南宇和郡愛南町,11,11,0
390003,高知県,,378,381,3
392014,高知県,高知市,87,87,0
392022,高知県,室戸市,7,7,0
392031,高知県,安芸市,18,18,0
392049,高知県,南国市,25,25,0
392057,高知県,土佐市,12,12,0
392065,高知県,須崎市,12,13,1
392081,高知県,宿毛市,14,14,0
392090,高知県,土佐清水市,11,11,0
392103,高知県,四万十市,22,22,0
392111,高知県,香南市,17,17,0
392120,高知県,香美市,22,22,0
393011,高知県,安芸郡東洋町,2,2,0
393029,高知県,安芸郡奈半利町,1,1,0
393037,高知県,安芸郡田野町,1,1,0
393045,高知県,安芸郡安田町,1,1,0
393053,高知県,安芸郡北川村,5,5,0
393070,高知県,安芸郡芸西村,5,5,0
393410,高知県,長岡郡本山町,1,1,0
393444,高知県,長岡郡大豊町,10,10,0
393631,高知県,土佐郡土佐町,1,1,0
393649,高知県,土佐郡大川村,2,2,0
393860,高知県,吾川郡いの町,10,10,0
393878,高知県,吾川郡仁淀川町,13,13,0
394017,高知県,高岡郡中土佐町,9,9,0
394025,高知県,高岡郡佐川町,4,5,1
394033,高知県,高岡郡越知町,4,4,0
394106,高知県,高岡郡日高村,3,3,0
394114,高知県,高岡郡津野町,0,1,1
394122,高知県,高岡郡四万十町,49,49,0
394246,高知県,幡多郡大月町,2,2,0
394289,高知県,幡多郡黒潮町,8,8,0
