団体コード,都道府県名,市区町村名,開設局数_前回,開設局数_今回,開設局数_差分
80004,茨城県,,512,519,7
82015,茨城県,水戸市,41,43,2
82023,茨城県,日立市,57,57,0
82031,茨城県,土浦市,10,10,0
82040,茨城県,古河市,31,31,0
82058,茨城県,石岡市,1,1,0
82074,茨城県,結城市,11,11,0
82082,茨城県,龍ケ崎市,5,5,0
82104,茨城県,下妻市,8,9,1
82112,茨城県,常総市,3,3,0
82147,茨城県,高萩市,7,7,0
82155,茨城県,北茨城市,7,7,0
82163,茨城県,笠間市,19,19,0
82171,茨城県,取手市,25,25,0
82198,茨城県,牛久市,6,6,0
82201,茨城県,つくば市,61,61,0
82210,茨城県,ひたちなか市,43,43,0
82228,茨城県,鹿嶋市,25,25,0
82244,茨城県,守谷市,13,13,0
82252,茨城県,常陸大宮市,6,6,0
82261,茨城県,那珂市,6,6,0
82279,茨城県,筑西市,22,22,0
82287,茨城県,坂東市,8,9,1
82295,茨城県,稲敷市,10,10,0
82309,茨城県,かすみがうら市,1,1,0
82317,茨城県,桜川市,9,10,1
82325,茨城県,神栖市,3,3,0
82333,茨城県,行方市,6,6,0
82341,茨城県,鉾田市,3,3,0
82350,茨城県,つくばみらい市,12,12,0
82368,茨城県,小美玉市,2,2,0
83020,茨城県,東茨城郡茨城町,8,8,0
83097,茨城県,東茨城郡大洗町,2,3,1
83101,茨城県,東茨城郡城里町,10,10,0
83411,茨城県,那珂郡東海村,3,3,0
83640,茨城県,久慈郡大子町,2,2,0
84425,茨城県,稲敷郡美浦村,2,2,0
84433,茨城県,稲敷郡阿見町,7,7,0
84476,茨城県,稲敷郡河内町,2,2,0
85421,茨城県,猿島郡五霞町,5,5,0
85464,茨城県,猿島郡境町,10,11,1
90000,栃木県,,282,289,7
92011,栃木県,宇都宮市,85,85,0
92029,栃木県,足利市,26,26,0
92037,栃木県,栃木市,7,7,0
92045,栃木県,佐野市,19,20,1
92053,栃木県,鹿沼市,33,33,0
92061,栃木県,日光市,5,5,0
92088,栃木県,小山市,44,45,1
92096,栃木県,真岡市,8,8,0
92100,栃木県,大田原市,12,13,1
92118,栃木県,矢板市,2,3,1
92134,栃木県,那須塩原市,6,8,2
92142,栃木県,さくら市,6,6,0
92151,栃木県,那須烏山市,8,8,0
92169,栃木県,下野市,1,1,0
93017,栃木県,河内郡上三川町,2,2,0
93441,栃木県,芳賀郡市貝町,3,3,0
93459,栃木県,芳賀郡芳賀町,1,1,0
93611,栃木県,下都賀郡壬生町,3,3,0
93645,栃木県,下都賀郡野木町,5,6,1
93866,栃木県,塩谷郡高根沢町,5,5,0
94072,栃木県,那須郡那須町,1,1,0
100005,群馬県,,328,335,7
102016,群馬県,前橋市,56,57,1
102024,群馬県,高崎市,70,70,0
102032,群馬県,桐生市,12,15,3
102041,群馬県,伊勢崎市,43,43,0
102059,群馬県,太田市,54,55,1
102067,群馬県,沼田市,7,7,0
102075,群馬県,館林市,11,11,0
102083,群馬県,渋川市,8,8,0
102091,群馬県,藤岡市,10,10,0
102105,群馬県,富岡市,4,5,1
102113,群馬県,安中市,9,9,0
102121,群馬県,みどり市,9,10,1
103446,群馬県,北群馬郡榛東村,1,1,0
103454,群馬県,北群馬郡吉岡町,3,3,0
