団体コード,都道府県名,市区町村名,開設局数_前回,開設局数_今回,開設局数_差分
130001,東京都,,3,3,0
131032,東京都,港区,3,3,0
140007,神奈川県,,3,3,0
141101,神奈川県,横浜市戸塚区,3,3,0
150002,新潟県,,889,895,6
151017,新潟県,新潟市北区,32,32,0
151025,新潟県,新潟市東区,35,35,0
151033,新潟県,新潟市中央区,62,62,0
151041,新潟県,新潟市江南区,37,38,1
151050,新潟県,新潟市秋葉区,35,35,0
151068,新潟県,新潟市南区,22,22,0
151076,新潟県,新潟市西区,58,58,0
151084,新潟県,新潟市西蒲区,42,42,0
152021,新潟県,長岡市,85,85,0
152048,新潟県,三条市,45,45,0
152056,新潟県,柏崎市,51,51,0
152064,新潟県,新発田市,19,23,4
152081,新潟県,小千谷市,19,19,0
152099,新潟県,加茂市,10,10,0
152102,新潟県,十日町市,21,21,0
152111,新潟県,見附市,19,19,0
152129,新潟県,村上市,14,15,1
152137,新潟県,燕市,28,28,0
152161,新潟県,糸魚川市,25,25,0
152170,新潟県,妙高市,14,14,0
152188,新潟県,五泉市,22,22,0
152226,新潟県,上越市,25,25,0
152234,新潟県,阿賀野市,20,20,0
152242,新潟県,佐渡市,30,30,0
152251,新潟県,魚沼市,14,14,0
152269,新潟県,南魚沼市,26,26,0
152277,新潟県,胎内市,24,24,0
153079,新潟県,北蒲原郡聖籠町,5,5,0
153427,新潟県,西蒲原郡弥彦村,7,7,0
153613,新潟県,南蒲原郡田上町,9,9,0
153851,新潟県,東蒲原郡阿賀町,6,6,0
154059,新潟県,三島郡出雲崎町,7,7,0
154610,新潟県,南魚沼郡湯沢町,3,3,0
154822,新潟県,中魚沼郡津南町,12,12,0
155047,新潟県,刈羽郡刈羽村,5,5,0
155811,新潟県,岩船郡関川村,1,1,0
200000,長野県,,1001,1001,0
202011,長野県,長野市,114,114,0
202029,長野県,松本市,70,70,0
202037,長野県,上田市,76,76,0
202045,長野県,岡谷市,17,17,0
202053,長野県,飯田市,65,65,0
202061,長野県,諏訪市,14,14,0
202070,長野県,須坂市,21,21,0
202088,長野県,小諸市,26,26,0
202096,長野県,伊那市,27,27,0
202100,長野県,駒ヶ根市,16,16,0
202118,長野県,中野市,26,26,0
202126,長野県,大町市,16,16,0
202134,長野県,飯山市,14,14,0
202142,長野県,茅野市,32,32,0
202151,長野県,塩尻市,23,23,0
202177,長野県,佐久市,52,52,0
202185,長野県,千曲市,26,26,0
202193,長野県,東御市,21,21,0
202207,長野県,安曇野市,36,36,0
203033,長野県,南佐久郡小海町,4,4,0
203041,長野県,南佐久郡川上村,3,3,0
203050,長野県,南佐久郡南牧村,7,7,0
203068,長野県,南佐久郡南相木村,1,1,0
203076,長野県,南佐久郡北相木村,3,3,0
203092,長野県,南佐久郡佐久穂町,5,5,0
203211,長野県,北佐久郡軽井沢町,15,15,0
203238,長野県,北佐久郡御代田町,9,9,0
203246,長野県,北佐久郡立科町,10,10,0
203491,長野県,小県郡青木村,1,1,0
203505,長野県,小県郡長和町,16,16,0
203611,長野県,諏訪郡下諏訪町,9,9,0
203629,長野県,諏訪郡富士見町,15,15,0
203637,長野県,諏訪郡原村,5,5,0
203823,長野県,上伊那郡辰野町,14,14,0
203831,長野県,上伊那郡箕輪町,12,12,0
203840,長野県,上伊那郡飯島町,9,9,0
203858,長野県,上伊那郡南箕輪村,14,14,0
203866,長野県,上伊那郡中川村,3,3,0
203882,長野県,上伊那郡宮田村,1,1,0
204021,長野県,下伊那郡松川町,12,12,0
204030,長野県,下伊那郡高森町,5,5,0
204048,長野県,下伊那郡阿南町,2,2,0
204072,長野県,下伊那郡阿智村,6,6,0
204099,長野県,下伊那郡平谷村,2,2,0
204111,長野県,下伊那郡下條村,6,6,0
204129,長野県,下伊那郡売木村,2,2,0
204137,長野県,下伊那郡天龍村,8,8,0
204153,長野県,下伊那郡喬木村,5,5,0
204161,長野県,下伊那郡豊丘村,4,4,0
204226,長野県,木曽郡上松町,4,4,0
204234,長野県,木曽郡南木曽町,3,3,0
204251,長野県,木曽郡木祖村,3,3,0
204293,長野県,木曽郡王滝村,1,1,0
204323,長野県,木曽郡木曽町,7,7,0
204463,長野県,東筑摩郡麻績村,3,3,0
204510,長野県,東筑摩郡朝日村,5,5,0
204528,長野県,東筑摩郡筑北村,4,4,0
204811,長野県,北安曇郡池田町,4,4,0
204820,長野県,北安曇郡松川村,3,3,0
204854,長野県,北安曇郡白馬村,7,7,0
204862,長野県,北安曇郡小谷村,2,2,0
205214,長野県,埴科郡坂城町,7,7,0
205419,長野県,上高井郡小布施町,5,5,0
205435,長野県,上高井郡高山村,3,3,0
205613,長野県,下高井郡山ノ内町,8,8,0
205621,長野県,下高井郡木島平村,3,3,0
205630,長野県,下高井郡野沢温泉村,1,1,0
205834,長野県,上水内郡信濃町,8,8,0
205885,長野県,上水内郡小川村,5,5,0
205907,長野県,上水内郡飯綱町,9,9,0
206024,長野県,下水内郡栄村,6,6,0
