団体コード,都道府県名,市区町村名,開設局数
20001,青森県,,339
22012,青森県,青森市,63
22021,青森県,弘前市,49
22039,青森県,八戸市,48
22047,青森県,黒石市,8
22055,青森県,五所川原市,23
22063,青森県,十和田市,21
22080,青森県,むつ市,19
22098,青森県,つがる市,16
22101,青森県,平川市,9
23019,青森県,東津軽郡平内町,7
23043,青森県,東津軽郡蓬田村,1
23213,青森県,西津軽郡鰺ヶ沢町,1
23612,青森県,南津軽郡藤崎町,5
23621,青森県,南津軽郡大鰐町,2
23671,青森県,南津軽郡田舎館村,4
23817,青森県,北津軽郡板柳町,5
23841,青森県,北津軽郡鶴田町,8
23876,青森県,北津軽郡中泊町,4
24015,青森県,上北郡野辺地町,4
24023,青森県,上北郡七戸町,3
24066,青森県,上北郡横浜町,2
24082,青森県,上北郡東北町,5
24112,青森県,上北郡六ヶ所村,5
24121,青森県,上北郡おいらせ町,8
24236,青森県,下北郡大間町,3
24252,青森県,下北郡風間浦村,2
24261,青森県,下北郡佐井村,2
24414,青森県,三戸郡三戸町,2
24422,青森県,三戸郡五戸町,7
24457,青森県,三戸郡南部町,1
24465,青森県,三戸郡階上町,2
30007,岩手県,,163
32018,岩手県,盛岡市,53
32026,岩手県,宮古市,1
32034,岩手県,大船渡市,14
32051,岩手県,花巻市,12
32069,岩手県,北上市,1
32077,岩手県,久慈市,5
32085,岩手県,遠野市,3
32093,岩手県,一関市,7
32107,岩手県,陸前高田市,10
32115,岩手県,釜石市,7
32131,岩手県,二戸市,2
32140,岩手県,八幡平市,6
32158,岩手県,奥州市,6
32166,岩手県,滝沢市,2
33014,岩手県,岩手郡雫石町,1
33022,岩手県,岩手郡葛巻町,1
33031,岩手県,岩手郡岩手町,4
33219,岩手県,紫波郡紫波町,8
33227,岩手県,紫波郡矢巾町,5
33812,岩手県,胆沢郡金ケ崎町,4
34029,岩手県,西磐井郡平泉町,3
34614,岩手県,上閉伊郡大槌町,1
35017,岩手県,九戸郡軽米町,1
35068,岩手県,九戸郡九戸村,1
35076,岩手県,九戸郡洋野町,4
35246,岩手県,二戸郡一戸町,1
40002,宮城県,,491
41017,宮城県,仙台市青葉区,48
41025,宮城県,仙台市宮城野区,37
41033,宮城県,仙台市若林区,23
41041,宮城県,仙台市太白区,30
41050,宮城県,仙台市泉区,44
42021,宮城県,石巻市,41
42030,宮城県,塩竈市,10
42056,宮城県,気仙沼市,14
42064,宮城県,白石市,12
42072,宮城県,名取市,26
42081,宮城県,角田市,7
42099,宮城県,多賀城市,11
42111,宮城県,岩沼市,14
42129,宮城県,登米市,21
42137,宮城県,栗原市,20
42145,宮城県,東松島市,16
42153,宮城県,大崎市,23
42161,宮城県,富谷市,6
43214,宮城県,柴田郡大河原町,5
43222,宮城県,柴田郡村田町,6
43231,宮城県,柴田郡柴田町,11
43249,宮城県,柴田郡川崎町,2
43613,宮城県,亘理郡亘理町,2
43621,宮城県,亘理郡山元町,4
44016,宮城県,宮城郡松島町,4
44067,宮城県,宮城郡利府町,13
44211,宮城県,黒川郡大和町,5
44229,宮城県,黒川郡大郷町,6
44245,宮城県,黒川郡大衡村,4
44440,宮城県,加美郡色麻町,2
44458,宮城県,加美郡加美町,2
45012,宮城県,遠田郡涌谷町,7
45055,宮城県,遠田郡美里町,6
45811,宮城県,牡鹿郡女川町,5
46060,宮城県,本吉郡南三陸町,4
50008,秋田県,,392
52019,秋田県,秋田市,82
52027,秋田県,能代市,22
52035,秋田県,横手市,42
52043,秋田県,大館市,44
52060,秋田県,男鹿市,17
52078,秋田県,湯沢市,25
52094,秋田県,鹿角市,15
52108,秋田県,由利本荘市,14
52116,秋田県,潟上市,18
52124,秋田県,大仙市,25
52132,秋田県,北秋田市,19
52141,秋田県,にかほ市,13
52159,秋田県,仙北市,11
53031,秋田県,鹿角郡小坂町,4
53481,秋田県,山本郡三種町,9
53490,秋田県,山本郡八峰町,10
53619,秋田県,南秋田郡五城目町,4
53635,秋田県,南秋田郡八郎潟町,4
54348,秋田県,仙北郡美郷町,7
54631,秋田県,雄勝郡羽後町,7
60003,山形県,,143
62014,山形県,山形市,61
62022,山形県,米沢市,11
62031,山形県,鶴岡市,6
62065,山形県,寒河江市,2
62073,山形県,上山市,4
62081,山形県,村山市,1
62090,山形県,長井市,5
62103,山形県,天童市,10
62120,山形県,尾花沢市,2
62138,山形県,南陽市,11
63215,山形県,西村山郡河北町,1
63410,山形県,北村山郡大石田町,1
63819,山形県,東置賜郡高畠町,8
63827,山形県,東置賜郡川西町,4
64025,山形県,西置賜郡白鷹町,7
64033,山形県,西置賜郡飯豊町,3
64262,山形県,東田川郡三川町,5
64611,山形県,飽海郡遊佐町,1
70009,福島県,,422
72010,福島県,福島市,71
72028,福島県,会津若松市,30
72036,福島県,郡山市,68
72044,福島県,いわき市,84
72052,福島県,白河市,11
72079,福島県,須賀川市,19
72087,福島県,喜多方市,6
72095,福島県,相馬市,11
72109,福島県,二本松市,11
72117,福島県,田村市,6
72125,福島県,南相馬市,18
72133,福島県,伊達市,10
72141,福島県,本宮市,4
73083,福島県,伊達郡川俣町,3
73229,福島県,安達郡大玉村,1
73423,福島県,岩瀬郡鏡石町,3
73440,福島県,岩瀬郡天栄村,2
73687,福島県,南会津郡南会津町,5
74217,福島県,河沼郡会津坂下町,5
74225,福島県,河沼郡湯川村,1
74471,福島県,大沼郡会津美里町,3
74616,福島県,西白河郡西郷村,2
74667,福島県,西白河郡矢吹町,9
74811,福島県,東白川郡棚倉町,7
74829,福島県,東白川郡矢祭町,2
74837,福島県,東白川郡塙町,3
75019,福島県,石川郡石川町,10
75027,福島県,石川郡玉川村,2
75035,福島県,石川郡平田村,1
75043,福島県,石川郡浅川町,1
75051,福島県,石川郡古殿町,2
75213,福島県,田村郡三春町,3
75221,福島県,田村郡小野町,4
75418,福島県,双葉郡広野町,2
75442,福島県,双葉郡川内村,1
75612,福島県,相馬郡新地町,1
