団体コード,都道府県名,市区町村名,開設局数
470007,沖縄県,,244
472018,沖縄県,那覇市,53
472051,沖縄県,宜野湾市,18
472077,沖縄県,石垣市,6
472085,沖縄県,浦添市,18
472093,沖縄県,名護市,18
472107,沖縄県,糸満市,9
472115,沖縄県,沖縄市,20
472123,沖縄県,豊見城市,10
472131,沖縄県,うるま市,13
472140,沖縄県,宮古島市,10
472158,沖縄県,南城市,4
473014,沖縄県,国頭郡国頭村,6
473022,沖縄県,国頭郡大宜味村,1
473065,沖縄県,国頭郡今帰仁村,3
473081,沖縄県,国頭郡本部町,6
473111,沖縄県,国頭郡恩納村,2
473138,沖縄県,国頭郡宜野座村,2
473146,沖縄県,国頭郡金武町,2
473243,沖縄県,中頭郡読谷村,3
473251,沖縄県,中頭郡嘉手納町,2
473260,沖縄県,中頭郡北谷町,1
473278,沖縄県,中頭郡北中城村,4
473286,沖縄県,中頭郡中城村,3
473294,沖縄県,中頭郡西原町,2
473481,沖縄県,島尻郡与那原町,1
473502,沖縄県,島尻郡南風原町,6
473618,沖縄県,島尻郡久米島町,7
473626,沖縄県,島尻郡八重瀬町,9
473758,沖縄県,宮古郡多良間村,1
473821,沖縄県,八重山郡与那国町,4
